"OTU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8"
"OTU.4896",0.0671056737250998,-0.203100238155151,0.805189336718034,-0.252239105628238,0.800856253126085,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27","uncultured_delta_proteobacterium",NA,NA
"OTU.4899",0.0698094756965087,-0.197039876073045,0.805767466469089,-0.244536897147862,0.806815029369924,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA
"OTU.1337",0.309903686340563,-0.637770304944064,0.909126104300223,-0.701520176274084,0.482978447709576,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","Sandaracinaceae","uncultured_bacterium",NA
"OTU.4216",0.059103174511118,-0.182065142523598,0.805415076614252,-0.226051321622821,0.821161504337449,NA,"Bacteria","Acidobacteria","Order_Incertae_Sedis","Family_Incertae_Sedis","Bryobacter",NA,NA,NA
"OTU.1331",0.0684679282386183,-0.195347701862799,0.805732803585206,-0.242447249253816,0.808433626591275,NA,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA
"OTU.1339",0.360479948898454,1.02985945697621,0.954164797730932,1.07933080262999,0.280440286139425,NA,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"OTU.1918",0.233674668881413,0.157956998352477,0.906870415698166,0.174178135727221,0.861725468041317,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_bacterium",NA
"OTU.1911",0.314295280436489,-0.00569725997366727,0.961826940887312,-0.0059233732509212,0.995273859572404,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA,NA,NA
"OTU.1910",0.0676479141219701,-0.203842411277988,0.80520226690917,-0.253156777688236,0.800147065175909,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,NA
"OTU.1913",0.074825817176915,0.786363023700362,0.819805365576306,0.959206973654735,0.337454488041169,NA,"Bacteria","Elusimicrobia","Lineage_IIb","uncultured_bacterium",NA,NA,NA,NA
"OTU.1917",0.800971915996318,0.227916256860767,0.983736998141421,0.23168413640167,0.816783353492092,NA,"Bacteria","Chloroflexi","KD4-96","uncultured_bacterium",NA,NA,NA,NA
